Public filename,Area,Spot,In_Out,Contributor,Duration
0584.wav,campus,library,outdoor,S96,7.13
0585.wav,Euston,forecourt,outdoor,S174,8.85
0586.wav,southbank,book,outdoor,S96,7.1
0587.wav,westend,national,indoor,S1,7.23
0588.wav,campus,square,outdoor,S127,7.04
0589.wav,westend,national,indoor,S183,8.32
0590.wav,british,square,outdoor,S162,10.52
0591.wav,Euston,gardens,outdoor,S63,7.81
0592.wav,campus,library,outdoor,S135,9.64
0593.wav,westend,national,indoor,S49,8.85
0594.wav,campus,square,outdoor,S104,9.69
0595.wav,westend,national,indoor,S126,8.61
0596.wav,westend,charing,indoor,S59,8.03
0597.wav,british,room12,indoor,S134,7.55
0598.wav,Euston,ritblat,indoor,S15,8.34
0599.wav,southbank,waterloo,indoor,S4,7.46
0600.wav,campus,curve,indoor,S187,8.94
0601.wav,westend,charing,indoor,S79,7.01
0602.wav,kensington,cromwell,outdoor,S153,8.21
0603.wav,westend,charing,indoor,S30,13.04
0604.wav,british,street,outdoor,S108,7.74
0605.wav,campus,square,outdoor,S4,7.46
0606.wav,westend,national,indoor,S66,7.27
0607.wav,westend,national,indoor,S88,7.28
0608.wav,campus,library,outdoor,S136,7.98
0609.wav,westend,trafalgar,outdoor,S113,7.13
0610.wav,southbank,waterloo,indoor,S54,9.36
0611.wav,campus,canal,outdoor,S78,7.57
0612.wav,campus,curve,indoor,S20,7.14
0613.wav,campus,ground,indoor,S99,8.99
0614.wav,westend,leicester,outdoor,S58,8.23
0615.wav,kensington,albert,outdoor,S32,8.42
0616.wav,campus,reception,indoor,S11,7.01
0617.wav,campus,square,outdoor,S45,7.03
0618.wav,campus,square,outdoor,S95,7.79
0619.wav,campus,canal,outdoor,S129,7.48
0620.wav,campus,curve,indoor,S111,7.17
0621.wav,Euston,piazza,outdoor,S15,8.38
0622.wav,westend,leicester,outdoor,S127,7.64
0623.wav,westend,market,indoor,S24,7.92
0624.wav,Euston,library,indoor,S15,8.04
0625.wav,southbank,waterloo,indoor,S152,12.86
0626.wav,southbank,book,outdoor,S36,7.01
0627.wav,campus,canal,outdoor,S48,7.8
0628.wav,campus,ground,indoor,S14,8.33
0629.wav,southbank,waterloo,indoor,S49,8.68
0630.wav,kensington,cromwell,outdoor,S56,10.8
0631.wav,campus,curve,indoor,S74,10.6
0632.wav,westend,trafalgar,outdoor,S147,6.98
0633.wav,campus,canal,outdoor,S72,7.55
0634.wav,campus,library,outdoor,S30,10.97
0635.wav,westend,charing,indoor,S159,7.13
0636.wav,westend,piazza,outdoor,S58,8.03
0637.wav,campus,square,outdoor,S31,8.27
0638.wav,campus,canal,outdoor,S50,8.55
0639.wav,campus,library,outdoor,S60,8.23
0640.wav,westend,leicester,outdoor,S81,7.84
0641.wav,british,room12,indoor,S69,7.76
0642.wav,campus,square,outdoor,S35,7.13
0643.wav,westend,piazza,outdoor,S40,7.04
0644.wav,campus,ground,indoor,S96,7.07
0645.wav,british,square,outdoor,S93,10.31
0646.wav,westend,national,indoor,S24,7.74
0647.wav,campus,ground,indoor,S12,7.96
0648.wav,westend,piazza,outdoor,S153,11.56
0649.wav,kensington,hintze,indoor,S177,8.75
0650.wav,southbank,bridge,outdoor,S164,7.77
0651.wav,british,greatcourt,indoor,S154,8
0652.wav,westend,trafalgar,outdoor,S20,7.27
0653.wav,british,greatcourt,indoor,S94,7.15
0654.wav,british,greatcourt,indoor,S178,8.57
0655.wav,westend,trafalgar,outdoor,S41,9.98
0656.wav,Euston,library,indoor,S113,8.06
0657.wav,british,street,outdoor,S174,8.64
0658.wav,westend,market,indoor,S28,8.06
0659.wav,british,greatcourt,indoor,S134,7.06
0660.wav,campus,ground,indoor,S60,8.99
0661.wav,westend,market,indoor,S182,7.69
0662.wav,campus,curve,indoor,S173,7.37
0663.wav,british,forecourt,outdoor,S187,7.17
0664.wav,campus,reception,indoor,S68,5.76
0665.wav,southbank,royal,indoor,S83,7.24
0666.wav,british,room12,indoor,S88,7.28
0667.wav,campus,library,outdoor,S106,7.42
0668.wav,campus,square,outdoor,S88,7.52
0669.wav,westend,market,indoor,S129,7.45
0670.wav,Euston,ritblat,indoor,S12,7.86
0671.wav,westend,trafalgar,outdoor,S67,7.98
0672.wav,southbank,food,outdoor,S159,7.17
0673.wav,Euston,gardens,outdoor,S186,7.13
0674.wav,westend,leicester,outdoor,S94,7.08
0675.wav,Euston,library,indoor,S47,8.09
0676.wav,campus,curve,indoor,S114,7.8
0677.wav,Euston,library,indoor,S150,8.08
0678.wav,westend,trafalgar,outdoor,S65,8.29
0679.wav,campus,reception,indoor,S101,8.43
0680.wav,southbank,waterloo,indoor,S91,7.49
0681.wav,westend,national,indoor,S163,7
0682.wav,campus,reception,indoor,S75,7.06
0683.wav,british,greatcourt,indoor,S86,7.08
0684.wav,Euston,forecourt,outdoor,S4,7.79
0685.wav,westend,market,indoor,S30,8.24
0686.wav,Euston,ritblat,indoor,S38,11.66
0687.wav,Euston,library,indoor,S145,8.33
0688.wav,Euston,library,indoor,S114,7.85
0689.wav,campus,canal,outdoor,S38,8.17
0690.wav,campus,ground,indoor,S168,7.04
0691.wav,campus,ground,indoor,S54,8.59
0692.wav,kensington,marine,indoor,S179,7.75
0693.wav,british,street,outdoor,S134,8.45
0694.wav,british,forecourt,outdoor,S174,8.75
0695.wav,westend,charing,indoor,S40,7.04
0696.wav,westend,market,indoor,S151,10.08
0697.wav,british,street,outdoor,S100,7.38
0698.wav,british,street,outdoor,S104,8.9
0699.wav,westend,piazza,outdoor,S121,7.11
0700.wav,westend,market,indoor,S97,7.31
0701.wav,campus,reception,indoor,S42,7.11
0702.wav,westend,national,indoor,S76,7.02
0703.wav,british,room12,indoor,S151,10.85
0704.wav,campus,library,outdoor,S40,7.04
0705.wav,campus,canal,outdoor,S145,7.96
0706.wav,kensington,cromwell,outdoor,S9,12.7
0707.wav,Euston,forecourt,outdoor,S46,8.01
0708.wav,Euston,upper,indoor,S63,7.41
0709.wav,campus,ground,indoor,S166,7.07
0710.wav,campus,library,outdoor,S192,10.75
0711.wav,westend,piazza,outdoor,S134,8.36
0712.wav,kensington,cromwell,outdoor,S169,7.52
0713.wav,campus,curve,indoor,S101,8.6
0714.wav,westend,piazza,outdoor,S182,7.97
0715.wav,Euston,ritblat,indoor,S113,7.69
0716.wav,westend,trafalgar,outdoor,S105,8
0717.wav,campus,curve,indoor,S156,7
0718.wav,campus,ground,indoor,S81,9.54
0719.wav,Euston,ritblat,indoor,S103,7.02
0720.wav,campus,canal,outdoor,S109,7.63
0721.wav,westend,market,indoor,S37,7.04
0722.wav,campus,reception,indoor,S167,8.27
0723.wav,campus,canal,outdoor,S80,9.52
0724.wav,southbank,food,outdoor,S49,8.45
0725.wav,westend,trafalgar,outdoor,S43,7.65
0726.wav,campus,canal,outdoor,S183,8.65
0727.wav,Euston,piazza,outdoor,S146,8.33
0728.wav,Euston,upper,indoor,S186,6.69
0729.wav,westend,piazza,outdoor,S15,8.06
0730.wav,southbank,waterloo,indoor,S47,7.76
0731.wav,british,forecourt,outdoor,S52,8.1
0732.wav,british,forecourt,outdoor,S85,8.85
0733.wav,british,room12,indoor,S141,8.69
0734.wav,westend,trafalgar,outdoor,S146,7.54
0735.wav,campus,reception,indoor,S12,8.2
0736.wav,campus,curve,indoor,S99,8.52
0737.wav,southbank,royal,indoor,S159,7.06
0738.wav,westend,market,indoor,S136,7.77
0739.wav,westend,leicester,outdoor,S124,7.08
0740.wav,campus,curve,indoor,S38,9.53
0741.wav,campus,library,outdoor,S165,7.77
0742.wav,westend,leicester,outdoor,S76,7.01
0743.wav,campus,canal,outdoor,S43,7.58
0744.wav,campus,curve,indoor,S129,7.3
0745.wav,british,greatcourt,indoor,S14,10.25
0746.wav,campus,canal,outdoor,S51,7.73
0747.wav,kensington,albert,outdoor,S82,7.4
0748.wav,campus,reception,indoor,S30,10.74
0749.wav,campus,canal,outdoor,S9,9.1
0750.wav,campus,canal,outdoor,S191,8
0751.wav,southbank,royal,indoor,S91,7.31
0752.wav,campus,square,outdoor,S90,9.54
0753.wav,kensington,pond,outdoor,S177,8.61
0754.wav,campus,ground,indoor,S93,7.87
0755.wav,campus,library,outdoor,S99,8.45
0756.wav,british,greatcourt,indoor,S48,7.96
0757.wav,campus,canal,outdoor,S25,9.06
0758.wav,Euston,piazza,outdoor,S145,8.35
0759.wav,westend,charing,indoor,S78,7.57
0760.wav,campus,ground,indoor,S176,8.26
0761.wav,westend,market,indoor,S18,10.43
0762.wav,british,room13,indoor,S71,7.5
0763.wav,westend,national,indoor,S89,7.89
0764.wav,campus,square,outdoor,S92,6.47
0765.wav,kensington,albert,outdoor,S103,7
0766.wav,westend,charing,indoor,S153,8.15
0767.wav,Euston,ritblat,indoor,S165,7.61
0768.wav,southbank,book,outdoor,S164,7.25
0769.wav,campus,library,outdoor,S91,7.3
0770.wav,campus,curve,indoor,S132,7.01
0771.wav,british,room12,indoor,S192,8.99
0772.wav,westend,charing,indoor,S29,7.98
0773.wav,Euston,gardens,outdoor,S45,7.02
0774.wav,campus,canal,outdoor,S166,7.03
0775.wav,campus,curve,indoor,S135,9.45
0776.wav,Euston,library,indoor,S129,7.39
0777.wav,campus,curve,indoor,S43,7.95
0778.wav,southbank,skate,outdoor,S150,8.17
0779.wav,british,square,outdoor,S141,8.48
0780.wav,Euston,gardens,outdoor,S85,8.68
0781.wav,british,room12,indoor,S112,7.8
0782.wav,westend,trafalgar,outdoor,S42,7.43
0783.wav,westend,market,indoor,S86,7.06
0784.wav,campus,library,outdoor,S145,8.02
0785.wav,southbank,food,outdoor,S54,8.8
0786.wav,british,street,outdoor,S80,10.59
0787.wav,campus,curve,indoor,S49,9.12
0788.wav,campus,ground,indoor,S48,7.92
0789.wav,campus,reception,indoor,S122,7.19
0790.wav,westend,national,indoor,S121,7.5
0791.wav,Euston,forecourt,outdoor,S129,7.3
0792.wav,westend,leicester,outdoor,S179,7.53
0793.wav,kensington,cromwell,outdoor,S32,7.8
0794.wav,westend,charing,indoor,S193,8.42
0795.wav,campus,square,outdoor,S52,7.43
0796.wav,campus,library,outdoor,S37,7.13
0797.wav,campus,canal,outdoor,S39,8.01
0798.wav,british,room12,indoor,S193,8.8
0799.wav,southbank,bridge,outdoor,S159,7.17
0800.wav,westend,trafalgar,outdoor,S143,6.87
0801.wav,campus,reception,indoor,S51,7.85
0802.wav,campus,canal,outdoor,S74,12.2
0803.wav,westend,charing,indoor,S10,11.14
0804.wav,westend,national,indoor,S97,7.17
0805.wav,campus,square,outdoor,S101,8.07
0806.wav,campus,library,outdoor,S94,8.41
0807.wav,campus,library,outdoor,S191,7.96
0808.wav,campus,reception,indoor,S9,8.83
0809.wav,british,street,outdoor,S142,9.94
0810.wav,Euston,gardens,outdoor,S89,7.71
0811.wav,westend,trafalgar,outdoor,S95,7.31
0812.wav,campus,square,outdoor,S8,7.02
0813.wav,campus,square,outdoor,S75,7.19
0814.wav,westend,charing,indoor,S43,7.65
0815.wav,campus,ground,indoor,S152,10.5
0816.wav,Euston,upper,indoor,S5,7.99
0817.wav,british,room12,indoor,S26,7.01
0818.wav,british,forecourt,outdoor,S100,7.41
0819.wav,westend,leicester,outdoor,S87,9.64
0820.wav,campus,ground,indoor,S145,8.43
0821.wav,kensington,albert,outdoor,S153,9.83
0822.wav,campus,reception,indoor,S179,7.58
0823.wav,campus,reception,indoor,S121,7.18
0824.wav,british,street,outdoor,S15,7.91
0825.wav,campus,curve,indoor,S82,7.48
0826.wav,british,greatcourt,indoor,S24,7.65
0827.wav,westend,trafalgar,outdoor,S88,7.49
0828.wav,westend,leicester,outdoor,S136,7.42
0829.wav,southbank,royal,indoor,S29,7.97
0830.wav,westend,leicester,outdoor,S75,6.1
0831.wav,campus,curve,indoor,S42,7.11
0832.wav,campus,library,outdoor,S79,7
0833.wav,campus,square,outdoor,S64,8.22
0834.wav,campus,canal,outdoor,S81,9.01
0835.wav,southbank,waterloo,indoor,S28,7.59
0836.wav,campus,curve,indoor,S112,7.93
0837.wav,westend,piazza,outdoor,S97,7.36
0838.wav,british,forecourt,outdoor,S122,8.6
0839.wav,Euston,piazza,outdoor,S142,9.92
0840.wav,british,forecourt,outdoor,S189,7.4
0841.wav,campus,ground,indoor,S134,7.57
0842.wav,southbank,food,outdoor,S115,8.24
0843.wav,british,room12,indoor,S5,7.64
0844.wav,westend,leicester,outdoor,S177,8.87
0845.wav,campus,canal,outdoor,S152,11.69
0846.wav,campus,library,outdoor,S144,8.51
0847.wav,campus,ground,indoor,S155,7.81
0848.wav,british,street,outdoor,S58,8.06
0849.wav,westend,leicester,outdoor,S118,10.66
0850.wav,campus,square,outdoor,S28,7.64
0851.wav,kensington,dinosaur,indoor,S143,7.1
0852.wav,kensington,albert,outdoor,S191,7.93
0853.wav,Euston,piazza,outdoor,S165,7.73
0854.wav,Euston,ritblat,indoor,S166,7.18
0855.wav,campus,ground,indoor,S104,7.87
0856.wav,Euston,piazza,outdoor,S109,8.02
0857.wav,campus,reception,indoor,S92,6.35
0858.wav,british,room12,indoor,S18,9.89
0859.wav,campus,ground,indoor,S165,7.6
0860.wav,british,street,outdoor,S156,7.08
0861.wav,campus,ground,indoor,S72,8.08
0862.wav,campus,ground,indoor,S90,8.89
0863.wav,campus,reception,indoor,S129,8.17
0864.wav,campus,ground,indoor,S131,9.38
0865.wav,campus,curve,indoor,S150,8.06
0866.wav,campus,ground,indoor,S73,7.64
0867.wav,campus,library,outdoor,S92,6.26
0868.wav,campus,curve,indoor,S34,8.45
0869.wav,campus,library,outdoor,S82,7.36
0870.wav,westend,charing,indoor,S12,8.04
0871.wav,westend,leicester,outdoor,S185,8.71
0872.wav,campus,ground,indoor,S68,5.38
0873.wav,westend,charing,indoor,S69,7.16
0874.wav,british,forecourt,outdoor,S110,13.78
0875.wav,westend,national,indoor,S52,7.87
0876.wav,Euston,ritblat,indoor,S85,6.96
0877.wav,british,greatcourt,indoor,S37,7.04
0878.wav,british,street,outdoor,S112,7.8
0879.wav,british,greatcourt,indoor,S18,10.59
0880.wav,campus,reception,indoor,S107,7.8
0881.wav,campus,library,outdoor,S121,7.27
0882.wav,westend,market,indoor,S78,7.69
0883.wav,westend,charing,indoor,S51,7.73
0884.wav,westend,market,indoor,S104,7.68
0885.wav,kensington,cromwell,outdoor,S84,7.02
0886.wav,british,street,outdoor,S169,7.52
0887.wav,british,room12,indoor,S40,7.04
0888.wav,kensington,dinosaur,indoor,S32,7.74
0889.wav,campus,canal,outdoor,S103,7.02
0890.wav,british,room12,indoor,S75,7.29
0891.wav,kensington,marine,indoor,S147,7.01
0892.wav,campus,ground,indoor,S9,8.53
0893.wav,british,room12,indoor,S155,8.17
0894.wav,campus,reception,indoor,S1,6.8
0895.wav,westend,market,indoor,S21,7.17
0896.wav,campus,curve,indoor,S96,7.07
0897.wav,southbank,skate,outdoor,S79,7.01
0898.wav,british,greatcourt,indoor,S93,7.71
0899.wav,campus,ground,indoor,S27,7.81
0900.wav,british,square,outdoor,S122,7.4
0901.wav,Euston,forecourt,outdoor,S11,7.08
0902.wav,westend,market,indoor,S79,7.01
0903.wav,westend,trafalgar,outdoor,S3,17.67
0904.wav,british,square,outdoor,S128,8.61
0905.wav,westend,leicester,outdoor,S151,9.64
0906.wav,british,room12,indoor,S13,18.44
0907.wav,campus,square,outdoor,S106,7.04
0908.wav,westend,charing,indoor,S74,10.16
0909.wav,british,street,outdoor,S133,8.19
0910.wav,westend,market,indoor,S52,7.96
0911.wav,westend,market,indoor,S133,7.1
0912.wav,southbank,food,outdoor,S190,9.4
0913.wav,campus,canal,outdoor,S181,10.47
0914.wav,british,forecourt,outdoor,S24,7.8
0915.wav,campus,ground,indoor,S10,9.69
0916.wav,westend,leicester,outdoor,S29,8.43
0917.wav,westend,trafalgar,outdoor,S165,8.29
0918.wav,Euston,ritblat,indoor,S54,8.85
0919.wav,british,square,outdoor,S106,7.59
0920.wav,campus,canal,outdoor,S130,7.29
0921.wav,campus,reception,indoor,S97,7.15
0922.wav,westend,leicester,outdoor,S99,8.61
0923.wav,westend,trafalgar,outdoor,S18,11.59
0924.wav,british,forecourt,outdoor,S155,7.87
0925.wav,westend,national,indoor,S172,8.5
0926.wav,southbank,royal,indoor,S74,9.6
0927.wav,british,room12,indoor,S189,6.81
0928.wav,westend,market,indoor,S89,8.06
0929.wav,southbank,royal,indoor,S62,8.87
0930.wav,campus,library,outdoor,S10,7.8
0931.wav,southbank,book,outdoor,S168,7.04
0932.wav,westend,trafalgar,outdoor,S141,8.58
0933.wav,campus,canal,outdoor,S14,8.27
0934.wav,westend,leicester,outdoor,S18,10.19
0935.wav,british,street,outdoor,S3,22.55
0936.wav,westend,leicester,outdoor,S153,8.13
0937.wav,westend,piazza,outdoor,S99,7.57
0938.wav,Euston,piazza,outdoor,S129,7.31
0939.wav,westend,market,indoor,S39,8.1
0940.wav,campus,square,outdoor,S185,8.73
0941.wav,campus,canal,outdoor,S111,7.04
0942.wav,Euston,ritblat,indoor,S45,7.02
0943.wav,campus,curve,indoor,S154,8.02
0944.wav,southbank,skate,outdoor,S42,7.34
0945.wav,british,forecourt,outdoor,S137,7.04
0946.wav,campus,curve,indoor,S23,8.28
0947.wav,campus,canal,outdoor,S6,8.52
0948.wav,campus,curve,indoor,S97,7.36
0949.wav,westend,piazza,outdoor,S191,8
0950.wav,campus,curve,indoor,S94,9.5
0951.wav,southbank,book,outdoor,S170,7.2
0952.wav,Euston,gardens,outdoor,S101,8.33
0953.wav,campus,square,outdoor,S10,11.62
0954.wav,southbank,royal,indoor,S142,11.36
0955.wav,british,forecourt,outdoor,S184,6.2
0956.wav,campus,curve,indoor,S127,7.04
0957.wav,Euston,gardens,outdoor,S157,7.53
0958.wav,campus,ground,indoor,S66,7.89
0959.wav,campus,reception,indoor,S187,8.17
0960.wav,westend,national,indoor,S185,9.24
0961.wav,campus,curve,indoor,S169,7.5
0962.wav,southbank,waterloo,indoor,S83,7.11
0963.wav,campus,curve,indoor,S46,7.94
0964.wav,Euston,forecourt,outdoor,S166,7.15
0965.wav,campus,reception,indoor,S80,9.6
0966.wav,campus,square,outdoor,S148,7.07
0967.wav,southbank,bridge,outdoor,S87,11.48
0968.wav,kensington,dinosaur,indoor,S114,7.31
0969.wav,campus,square,outdoor,S152,8.96
0970.wav,campus,curve,indoor,S145,8.25
0971.wav,campus,library,outdoor,S124,7.13
0972.wav,westend,piazza,outdoor,S170,7.38
0973.wav,campus,library,outdoor,S5,7.52
0974.wav,westend,trafalgar,outdoor,S124,7.13
0975.wav,campus,library,outdoor,S163,7.03
0976.wav,Euston,upper,indoor,S57,13.03
0977.wav,british,room12,indoor,S142,10.31
0978.wav,westend,national,indoor,S67,7.9
0979.wav,Euston,library,indoor,S108,7.84
0980.wav,westend,leicester,outdoor,S146,7.47
0981.wav,campus,reception,indoor,S86,7.04
0982.wav,westend,market,indoor,S20,7.34
0983.wav,Euston,upper,indoor,S50,7.9
0984.wav,westend,national,indoor,S61,7.2
0985.wav,british,square,outdoor,S13,20.94
0986.wav,kensington,albert,outdoor,S145,8.06
0987.wav,british,room12,indoor,S24,7.49
0988.wav,campus,square,outdoor,S79,7.01
0989.wav,Euston,ritblat,indoor,S142,11.05
0990.wav,campus,ground,indoor,S17,7.66
0991.wav,campus,curve,indoor,S193,7.08
0992.wav,british,room12,indoor,S107,7.74
0993.wav,westend,piazza,outdoor,S17,7.87
0994.wav,westend,charing,indoor,S11,7.22
0995.wav,westend,charing,indoor,S21,8.3
0996.wav,campus,reception,indoor,S54,8.82
0997.wav,southbank,book,outdoor,S47,8.02
0998.wav,british,greatcourt,indoor,S106,7.49
0999.wav,campus,library,outdoor,S184,6.24
1000.wav,westend,national,indoor,S48,8.68
1001.wav,Euston,library,indoor,S142,10.91
1002.wav,Euston,piazza,outdoor,S4,7.71
1003.wav,westend,piazza,outdoor,S179,7.77
1004.wav,campus,library,outdoor,S147,7.01
1005.wav,westend,charing,indoor,S155,7.77
1006.wav,campus,reception,indoor,S172,8.37
1007.wav,british,square,outdoor,S156,7.08
1008.wav,campus,library,outdoor,S14,7.41
1009.wav,campus,reception,indoor,S105,8.3
1010.wav,campus,canal,outdoor,S131,10.38
1011.wav,campus,ground,indoor,S186,7.94
1012.wav,british,greatcourt,indoor,S25,7.57
1013.wav,westend,national,indoor,S122,9.6
1014.wav,westend,charing,indoor,S87,10.62
1015.wav,kensington,dinosaur,indoor,S119,10.67
1016.wav,campus,library,outdoor,S168,7.01
1017.wav,westend,piazza,outdoor,S59,8.02
1018.wav,campus,library,outdoor,S74,13.23
1019.wav,Euston,gardens,outdoor,S4,7.74
1020.wav,westend,national,indoor,S167,7.45
1021.wav,british,forecourt,outdoor,S112,8.16
1022.wav,southbank,royal,indoor,S170,7.32
1023.wav,westend,piazza,outdoor,S10,15.9
1024.wav,southbank,bridge,outdoor,S152,9.07
1025.wav,campus,canal,outdoor,S68,5.7
1026.wav,kensington,dinosaur,indoor,S177,9.22
1027.wav,Euston,gardens,outdoor,S14,9.02
1028.wav,westend,piazza,outdoor,S61,7.18
1029.wav,southbank,waterloo,indoor,S109,7.89
1030.wav,british,forecourt,outdoor,S26,7.01
1031.wav,Euston,ritblat,indoor,S4,7.71
1032.wav,westend,piazza,outdoor,S67,8.42
1033.wav,campus,curve,indoor,S117,7.49
1034.wav,westend,national,indoor,S47,10.32
1035.wav,british,room12,indoor,S80,9.38
1036.wav,Euston,upper,indoor,S97,7.29
1037.wav,westend,charing,indoor,S165,7.74
1038.wav,kensington,marine,indoor,S132,7.01
1039.wav,campus,reception,indoor,S88,7.13
1040.wav,campus,library,outdoor,S1,6.94
1041.wav,british,room12,indoor,S144,9.93
1042.wav,kensington,dinosaur,indoor,S132,7.01
1043.wav,campus,canal,outdoor,S186,8.64
1044.wav,campus,curve,indoor,S69,7.16
1045.wav,campus,ground,indoor,S138,8.61
1046.wav,westend,leicester,outdoor,S49,8.61
1047.wav,westend,trafalgar,outdoor,S1,7.17
1048.wav,campus,canal,outdoor,S119,10.57
1049.wav,Euston,piazza,outdoor,S103,7.01
1050.wav,campus,curve,indoor,S184,6.97
1051.wav,campus,canal,outdoor,S24,7.71
1052.wav,westend,national,indoor,S20,7.15
1053.wav,british,forecourt,outdoor,S48,7.96
1054.wav,campus,canal,outdoor,S42,7.29
1055.wav,kensington,marine,indoor,S143,7.04
1056.wav,Euston,library,indoor,S4,7.76
1057.wav,Euston,library,indoor,S109,7.42
1058.wav,british,greatcourt,indoor,S63,7.68
1059.wav,campus,curve,indoor,S124,7.13
1060.wav,british,forecourt,outdoor,S87,8.64
1061.wav,british,room12,indoor,S7,7.64
1062.wav,campus,curve,indoor,S18,6.62
1063.wav,Euston,piazza,outdoor,S60,9.8
1064.wav,campus,canal,outdoor,S113,7.57
1065.wav,british,greatcourt,indoor,S156,7.04
1066.wav,campus,curve,indoor,S110,8.98
1067.wav,westend,leicester,outdoor,S20,7.17
1068.wav,southbank,waterloo,indoor,S163,7
1069.wav,Euston,library,indoor,S5,8.5
1070.wav,southbank,food,outdoor,S45,7.03
1071.wav,westend,charing,indoor,S58,8.26
1072.wav,campus,ground,indoor,S38,9.3
1073.wav,westend,piazza,outdoor,S172,9.87
1074.wav,westend,leicester,outdoor,S30,12.17
1075.wav,westend,charing,indoor,S52,7.73
1076.wav,campus,square,outdoor,S73,7.04
1077.wav,british,greatcourt,indoor,S5,7.71
1078.wav,campus,ground,indoor,S133,7.83
1079.wav,campus,square,outdoor,S140,7.81
1080.wav,campus,square,outdoor,S16,8.36
1081.wav,kensington,pond,outdoor,S191,7.77
1082.wav,westend,piazza,outdoor,S126,8.21
1083.wav,westend,national,indoor,S190,8.7
1084.wav,Euston,ritblat,indoor,S176,9.15
1085.wav,westend,trafalgar,outdoor,S100,7.42
1086.wav,westend,trafalgar,outdoor,S136,7.39
1087.wav,westend,trafalgar,outdoor,S152,11.62
1088.wav,westend,charing,indoor,S177,9.43
1089.wav,british,greatcourt,indoor,S170,7.41
1090.wav,british,room23,indoor,S141,8.63
1091.wav,british,street,outdoor,S81,8.6
1092.wav,westend,market,indoor,S10,10.68
1093.wav,campus,reception,indoor,S38,8.6
1094.wav,campus,curve,indoor,S88,7.28
1095.wav,british,street,outdoor,S122,7.04
1096.wav,westend,piazza,outdoor,S122,8.51
1097.wav,campus,curve,indoor,S58,8.26
1098.wav,kensington,cromwell,outdoor,S132,6.97
1099.wav,Euston,library,indoor,S43,7.66
1100.wav,british,street,outdoor,S192,10.06
1101.wav,westend,national,indoor,S152,10.9
1102.wav,campus,ground,indoor,S65,7.92
1103.wav,kensington,marine,indoor,S19,7.1
1104.wav,campus,canal,outdoor,S88,7.21
1105.wav,westend,leicester,outdoor,S164,7.49
1106.wav,campus,square,outdoor,S63,7.96
1107.wav,Euston,piazza,outdoor,S97,7.29
1108.wav,kensington,marine,indoor,S103,9.38
1109.wav,campus,library,outdoor,S110,8.79
1110.wav,british,square,outdoor,S100,7.36
1111.wav,westend,national,indoor,S101,8.9
1112.wav,campus,reception,indoor,S117,7.77
1113.wav,southbank,book,outdoor,S4,7.51
1114.wav,kensington,dinosaur,indoor,S192,7.8
1115.wav,british,street,outdoor,S110,10.65
1116.wav,Euston,ritblat,indoor,S93,7.66
1117.wav,westend,piazza,outdoor,S124,7.13
1118.wav,westend,piazza,outdoor,S49,8.36
1119.wav,southbank,skate,outdoor,S170,7.13
1120.wav,campus,curve,indoor,S40,7.04
1121.wav,campus,ground,indoor,S6,7.62
1122.wav,westend,piazza,outdoor,S36,7
1123.wav,Euston,library,indoor,S157,7.51
1124.wav,southbank,skate,outdoor,S54,10.4
1125.wav,westend,charing,indoor,S172,9.04
1126.wav,campus,reception,indoor,S151,8.57
1127.wav,westend,leicester,outdoor,S42,7.48
1128.wav,campus,canal,outdoor,S136,7.93
1129.wav,westend,market,indoor,S27,9.63
1130.wav,campus,reception,indoor,S137,7.47
1131.wav,campus,square,outdoor,S21,7.68
1132.wav,campus,library,outdoor,S182,7.76
1133.wav,campus,reception,indoor,S29,7.66
1134.wav,campus,reception,indoor,S103,7.01
1135.wav,westend,national,indoor,S29,7.89
1136.wav,Euston,forecourt,outdoor,S59,8.03
1137.wav,westend,charing,indoor,S46,7.76
1138.wav,Euston,piazza,outdoor,S50,8.3
1139.wav,southbank,waterloo,indoor,S42,7.41
1140.wav,campus,ground,indoor,S11,6.97
1141.wav,campus,reception,indoor,S21,8.83
1142.wav,westend,piazza,outdoor,S46,7.13
1143.wav,campus,ground,indoor,S106,7.12
1144.wav,westend,charing,indoor,S72,7.62
1145.wav,Euston,forecourt,outdoor,S45,7.03
1146.wav,westend,national,indoor,S148,7.31
1147.wav,westend,charing,indoor,S118,11.01
1148.wav,southbank,skate,outdoor,S109,7.45
1149.wav,campus,curve,indoor,S139,9.17
1150.wav,british,greatcourt,indoor,S52,7.94
1151.wav,westend,national,indoor,S12,7.56
1152.wav,Euston,piazza,outdoor,S100,7.38
1153.wav,southbank,waterloo,indoor,S67,7.4
1154.wav,campus,curve,indoor,S90,8.29
1155.wav,campus,ground,indoor,S59,7.97
1156.wav,british,street,outdoor,S140,7.76
1157.wav,southbank,book,outdoor,S91,7.66
1158.wav,british,street,outdoor,S37,7
1159.wav,kensington,hintze,indoor,S167,7.59
1160.wav,kensington,dinosaur,indoor,S22,7.85
1161.wav,campus,canal,outdoor,S99,8.89
1162.wav,campus,curve,indoor,S116,7
1163.wav,campus,canal,outdoor,S1,7.17
1164.wav,campus,library,outdoor,S64,8.07
1165.wav,southbank,skate,outdoor,S159,7.1
1166.wav,british,forecourt,outdoor,S65,9.73
1167.wav,westend,leicester,outdoor,S69,7.83
1168.wav,kensington,albert,outdoor,S192,9.84
1169.wav,westend,leicester,outdoor,S59,8.03
